started,wait,duration,text

8/15/16 11:05,0:00:06,0:00:41,"11:06AM 49265925831261764195305120@web.libraryh3lp.com: Hi

11:06AM askandyver2@chat.libraryh3lp.com: hello

11:06AM askandyver2@chat.libraryh3lp.com: how may I help?

11:07AM 49265925831261764195305120@web.libraryh3lp.com: My name is Fatih, From Istanbul in Turkey

11:07AM 49265925831261764195305120@web.libraryh3lp.com: I am doing a research and need some help

"

4/10/17 9:54,0:00:19,0:01:02,"09:54AM 52497276213324765584365723@web.libraryh3lp.com: hello, I was wondering how I can find research papers on optimal settings for online learning

09:54AM askandyver2@chat.libraryh3lp.com: Hi!

09:54AM askandyver2@chat.libraryh3lp.com: May I ask where you have looked so far? Have you looked in any library databases?

09:55AM 52497276213324765584365723@web.libraryh3lp.com: no, just in the ""find ejournals"" area

09:55AM askandyver2@chat.libraryh3lp.com: Ah I see. 

"

3/29/16 15:08,0:00:24,0:01:03,"15:08PM 63524495975380844202588129@web.libraryh3lp.com: Hello, I can't obtain the full text for () as it is mentioned on the search results. Could you email me with instructions on how to best continue? rnaidu@andrew.cmu.edu

15:08PM 63524495975380844202588129@web.libraryh3lp.com: Thank you! 

15:08PM 63524495975380844202588129@web.libraryh3lp.com: http://vufind.library.cmu.edu/vufind/Summon/Record?id=FETCH-proquest_miscellaneous_16677540803

15:08PM askandyver2@chat.libraryh3lp.com: Hello

15:09PM askandyver2@chat.libraryh3lp.com: Are you searching for an article or a book

15:09PM 63524495975380844202588129@web.libraryh3lp.com: Either version

15:09PM 63524495975380844202588129@web.libraryh3lp.com: Also, I apologize but my laptop is about to die, so email may be best.  Thanks again.

"

10/28/16 12:54,0:00:06,0:01:11,"12:54PM 53909274514303557398946424@web.libraryh3lp.com: I heard from CPDC that we could access hoovers though the library. How do we do that?

12:54PM askandyver2@chat.libraryh3lp.com: Hi

12:55PM askandyver2@chat.libraryh3lp.com: You can go to the Libraries' homepage www.library.cmu.edu, then search and find, then research databases. H for Hoovers.

12:55PM 53909274514303557398946424@web.libraryh3lp.com: Thank you.

12:55PM 53909274514303557398946424@web.libraryh3lp.com: Have agreat day

12:56PM askandyver2@chat.libraryh3lp.com: You're welcome-you have a great one as well!

"

4/1/16 9:54,0:00:16,0:01:13,"09:54AM 07809223275046649304598724@web.libraryh3lp.com: Hello, does library have access to Wall Street Journal?

09:54AM askandyver2@chat.libraryh3lp.com: Yes. 

09:54AM askandyver2@chat.libraryh3lp.com: Go to the homepage, Search and Find, Research Databases, then W for WSJ

09:55AM askandyver2@chat.libraryh3lp.com: Libraries homepage is www.library.cmu.edu

09:55AM 07809223275046649304598724@web.libraryh3lp.com: Thanks a lot!

"

1/12/17 10:20,0:00:07,0:01:14,"10:20AM 20594241248846213188329968@web.libraryh3lp.com: good morning, is this something that can be checked out or does it have to be kept in the library for viewing   http://vufind.library.cmu.edu/vufind/Record/481416

10:20AM askandyver2@chat.libraryh3lp.com: Hi

10:21AM askandyver2@chat.libraryh3lp.com: I believe videos from the 2nd floor need to be viewed onsite-let me get you the policy.

10:22AM askandyver2@chat.libraryh3lp.com: http://www.library.cmu.edu/find/filmvideo/vidcoll

"

1/20/16 8:45,0:00:15,0:01:14,"08:45AM +12627942174@twilio.libraryh3lp.com: Do students have access to the digital edition of the New York Times through CMU?

08:45AM cmu-texting@chat.libraryh3lp.com: hi

08:45AM cmu-texting@chat.libraryh3lp.com: yes, the new york times is available in one of our databases going back to 1800s ... 

08:45AM cmu-texting@chat.libraryh3lp.com: Go to library.cmu.edu

08:45AM cmu-texting@chat.libraryh3lp.com: click on research databases

08:46AM +12627942174@twilio.libraryh3lp.com: Thank you so much!

08:46AM cmu-texting@chat.libraryh3lp.com: then just click on N and find New york times :)

08:46AM cmu-texting@chat.libraryh3lp.com: and you are welcome :)

"

2/9/17 10:42,0:00:05,0:01:19,"10:42AM 31386607883009782954587660@web.libraryh3lp.com: How do I access Proquest?

10:42AM askandyver2@chat.libraryh3lp.com: Hhi

10:42AM askandyver2@chat.libraryh3lp.com: Go to the libraries' homepage www.library.cmu.edu 

10:43AM askandyver2@chat.libraryh3lp.com: Then, either click on Research Databases (under the search box) or go to search and find, then Research Databases.  Click P for Proquest, and you'll see the link there.

10:43AM 31386607883009782954587660@web.libraryh3lp.com: Thanks!

10:43AM askandyver2@chat.libraryh3lp.com: You're welcome! :-)

"

11/16/15 14:41,0:00:26,0:01:24,"14:41PM 05629060532369994935679947@web.libraryh3lp.com: Hi. Which database do you recommend to look for industry reports? I'm specifically looking at the truckload industry.

14:41PM askandyver2@chat.libraryh3lp.com: hi

14:42PM askandyver2@chat.libraryh3lp.com: The business librarian has a research guide that outlines the best resources for industrial research http://guides.library.cmu.edu/industries

14:42PM 05629060532369994935679947@web.libraryh3lp.com: Great! Thank you!

14:43PM askandyver2@chat.libraryh3lp.com: You're welcome!

"

11/12/15 8:30,0:00:09,0:01:27,"08:30AM 19432069342220831451850141@web.libraryh3lp.com: Good morning! I am trying to find a record of a relative attending Carnegie Tech in the 1920s. Any suggestions?

08:30AM askandyver2@chat.libraryh3lp.com: Hi

08:30AM askandyver2@chat.libraryh3lp.com: You can contact the University Archivist, Julia Corrin.  Give me a moment and I'll pass on her contact information.

08:31AM askandyver2@chat.libraryh3lp.com: jcorrin@andrew.cmu.edu
+1 412 268 7402

08:31AM 19432069342220831451850141@web.libraryh3lp.com: Super, thanks!

08:32AM askandyver2@chat.libraryh3lp.com: You're welcome!  

"

8/15/16 14:41,0:00:10,0:01:32,"14:42PM 61012616121640942664328672@web.libraryh3lp.com: hi, i'm looking to access WorldCat through CMU. sorry if i'm being dense...

14:42PM askandyver2@chat.libraryh3lp.com: hi

14:44PM askandyver2@chat.libraryh3lp.com: Worldcat is listed on the Libraries Research Database list A-z list-you can find that list under Search and Find on the Libraries Homepage www.library.cmu.edu 

14:44PM 61012616121640942664328672@web.libraryh3lp.com: i'm on the library site, i didn't realize world cat would be in the database list. thank you. bonnie

"

3/8/16 8:37,0:00:07,0:01:36,"08:37AM 21959274600823084533424454@web.libraryh3lp.com: Hello. Does CMU have access to the IBIS World databases? 

08:37AM askandyver2@chat.libraryh3lp.com: hi

08:38AM askandyver2@chat.libraryh3lp.com: Yes, we provide access to IBIS World.  

08:38AM askandyver2@chat.libraryh3lp.com: Go to the Libraries' homepage, www.library.cmu.edu, then 

08:38AM askandyver2@chat.libraryh3lp.com: Search and Find, , Research Databases, then I for IBIS World

08:38AM 21959274600823084533424454@web.libraryh3lp.com: Thanks. 

08:39AM askandyver2@chat.libraryh3lp.com: You're welcome.

"

8/14/15 10:41,0:00:45,0:01:45,"10:41AM 41076283872296299901226937@web.libraryh3lp.com: Hi do students have access to Hoovers?

10:42AM askandyver2@chat.libraryh3lp.com: hi

10:42AM askandyver2@chat.libraryh3lp.com: Yes, it's listed on our databases.  go to the libraries homepage http://www.library.cmu.edu/

10:43AM askandyver2@chat.libraryh3lp.com: go under Search ad Find and choose Research databases, then choose H and scroll down for Hoover's

10:43AM askandyver2@chat.libraryh3lp.com: We also have the databases listed by subject under Research databases, so click on business and economics to see all the bus. dbs we have!

"

2/21/17 12:51,0:00:11,0:01:51,"12:51PM 12252437988911727781168832@web.libraryh3lp.com: If I were looking to perform market research on the nuclear power industry, which research database or databases would you recommend?

12:52PM askandyver2@chat.libraryh3lp.com: Hi

12:52PM askandyver2@chat.libraryh3lp.com: Let me get you the guide for market research-it will list the dbs

12:53PM 12252437988911727781168832@web.libraryh3lp.com: perfect. 

12:53PM askandyver2@chat.libraryh3lp.com: http://guides.library.cmu.edu/marketresearch

12:53PM 12252437988911727781168832@web.libraryh3lp.com: Thank you much.

12:54PM askandyver2@chat.libraryh3lp.com: You're welcome!

"

2/22/16 15:17,0:00:39,0:01:53,"15:17PM 51721589576675629521701895@web.libraryh3lp.com: Hi, what is the benefit to listing my dissertation in ProQuest?

15:17PM 51721589576675629521701895@web.libraryh3lp.com: it seems to only, potentially, restrict rights

15:17PM askandyver2@chat.libraryh3lp.com: Others who have access to the database will be able to search by subject, author, keywords, etc. and locate it.

15:17PM 51721589576675629521701895@web.libraryh3lp.com: it's CMU Research Showcase + making available on the internet probably ""good enough"" ?

15:18PM askandyver2@chat.libraryh3lp.com: that's up to you. I'll send you a link with info that may help

15:18PM askandyver2@chat.libraryh3lp.com: http://www.library.cmu.edu/datapub/sc/dissertation/decisions

15:19PM askandyver2@chat.libraryh3lp.com: Do you want people to discover your dissertation when they search the open web using an Internet search engine such as Google, or do you prefer that discovery of your work be more restricted, for example, via a search of a library catalog, Dissertation Abstracts International, or the Dissertations & Theses Database? If you want to encourage easy discovery by the broadest possible range of readers, then enable your work to be discovered in a search of the open web.

If you publish your dissertation with the University Libraries, i.e., deposit it in Research Showcase, your work will be discoverable in a search of the open web. ProQuest/UMI will make your work discoverable via a search of the open web if you request this option. (See page 4 of the ProQuest Publishing Agreement.) However, dissertations in Research Showcase are more easily discovered in an Internet search than those in the ProQuest database.

15:19PM 51721589576675629521701895@web.libraryh3lp.com: ok, thanks!

15:19PM askandyver2@chat.libraryh3lp.com: You're welcome!

"

7/23/15 15:03,0:00:38,0:01:59,"15:03PM 55220129264990453883672179@web.libraryh3lp.com: Hi

15:03PM 55220129264990453883672179@web.libraryh3lp.com: My name is Yunus, I am a PhD student at ECE

15:04PM askandyver2@chat.libraryh3lp.com: hi

15:04PM 55220129264990453883672179@web.libraryh3lp.com: I need this paper for my research, but I think we don't have access at CMU

15:04PM 55220129264990453883672179@web.libraryh3lp.com: http://www.worldscientific.com/doi/abs/10.1142/S0218127400000773

15:05PM 55220129264990453883672179@web.libraryh3lp.com: Is there anyway that I can get this article?

15:06PM askandyver2@chat.libraryh3lp.com: If we don't have an item you need, you can request via our interlibrary loan service Illiad.  I will send you the link.

15:06PM 55220129264990453883672179@web.libraryh3lp.com: Thank you very much

"

11/4/15 15:13,0:00:09,0:02:05,"15:13PM 41261744100507858409001997@web.libraryh3lp.com: Do we have access to the Safari e-book collection from the publisher O'Reilly? I thought I heard a mention of Safari when I attended the library's Research Resources and Management Tools talk last week.

15:13PM askandyver2@chat.libraryh3lp.com: yes

15:13PM askandyver2@chat.libraryh3lp.com: we do

15:13PM askandyver2@chat.libraryh3lp.com: please email sciref@andrew.cmu.edu for more detail.

15:14PM 41261744100507858409001997@web.libraryh3lp.com: OK. I'll do that. Thank you very much!

15:14PM askandyver2@chat.libraryh3lp.com: i am checking to see if they are listed on our databases A-Z

15:15PM 41261744100507858409001997@web.libraryh3lp.com: Oh, I see it there

15:15PM askandyver2@chat.libraryh3lp.com: good :)

15:15PM askandyver2@chat.libraryh3lp.com: anything else?

15:15PM 41261744100507858409001997@web.libraryh3lp.com: That's all. Thank you again!

15:15PM askandyver2@chat.libraryh3lp.com: you're welcome

"

10/5/15 10:22,0:00:11,0:02:07,"10:22AM 34568855873318993757890697@web.libraryh3lp.com: I have a quick question - about how many volumes does your library system have (total)?

10:23AM askandyver2@chat.libraryh3lp.com: hi

10:23AM 34568855873318993757890697@web.libraryh3lp.com: Working on a research project that involves this information

10:23AM askandyver2@chat.libraryh3lp.com: you can find this question in the university factbook

10:23AM askandyver2@chat.libraryh3lp.com: let me get you the link

10:23AM 34568855873318993757890697@web.libraryh3lp.com: Thanks, I've actually been looking through the fact book - do you know which particular section?

10:23AM askandyver2@chat.libraryh3lp.com: http://www.cmu.edu/ira/factbook/facts2014.html

10:24AM askandyver2@chat.libraryh3lp.com: yes, let me double check .. I want to say education .. hold on

10:24AM 34568855873318993757890697@web.libraryh3lp.com: Just found it in the teaching and academic support section

10:24AM 34568855873318993757890697@web.libraryh3lp.com: Thanks for your help!

10:25AM askandyver2@chat.libraryh3lp.com: It's in teaching and academic support - http://www.cmu.edu/ira/factbook/pdf/facts2014/teaching-and-academic-support.pdf

"

7/27/15 8:51,0:00:32,0:02:09,"08:51AM 47799511524055094824102576@web.libraryh3lp.com: Just had a quick question, is there any public access to carnegie mellon databases? Im doing some business research at my university and the level of resources is far inferior to carnegie mellon's. Just thought i'd ask!

08:51AM askandyver2@chat.libraryh3lp.com: yes.  you'll need to bring your ID (a driver license would do) and ...

08:51AM askandyver2@chat.libraryh3lp.com: ask for a day pass at the lending desk

08:52AM askandyver2@chat.libraryh3lp.com: FYI, the Carnegie Public Library also has a downtown location (a business center)

08:52AM askandyver2@chat.libraryh3lp.com: and they have even more resources there .. and open to public

08:53AM 47799511524055094824102576@web.libraryh3lp.com: what if im off cite, say in canada? is there a way to get a day pass electronically ?

08:53AM askandyver2@chat.libraryh3lp.com: no .. you have to be on-site .. sorry

08:53AM 47799511524055094824102576@web.libraryh3lp.com: thats ok! thank you for the information!

08:53AM askandyver2@chat.libraryh3lp.com: you're welcome and have a gr8 day

"

3/9/17 12:04,0:00:10,0:02:10,"12:04PM 23454383201707659312187185@web.libraryh3lp.com: Hello Sue, this is Ema Grama.

12:04PM askandyver2@chat.libraryh3lp.com: Hi Ema!

12:04PM 23454383201707659312187185@web.libraryh3lp.com: I was wondering if you could direct me to the capstone research web page

12:04PM 23454383201707659312187185@web.libraryh3lp.com: I am trying to find it on the site but I cannot

12:04PM 23454383201707659312187185@web.libraryh3lp.com: thanks so much

12:05PM askandyver2@chat.libraryh3lp.com: Certainly- it's http://guides.library.cmu.edu/globalstudies

12:06PM askandyver2@chat.libraryh3lp.com: That's because you missed class the day we went over it-ha ha!!

12:06PM 23454383201707659312187185@web.libraryh3lp.com: indeed:)

12:06PM 23454383201707659312187185@web.libraryh3lp.com: thanks so much Sue!

12:06PM 23454383201707659312187185@web.libraryh3lp.com: best wishes

12:06PM askandyver2@chat.libraryh3lp.com: Just hope you are feeling better-take care! :-)

"

10/13/15 11:31,0:00:11,0:02:11,"11:31AM 47292415719574354045858381@web.libraryh3lp.com: Hi, I keep getting this error message when I'm searching for articles An error has occurred
php_network_getaddresses: getaddrinfo failed: Temporary failure in name resolution
Please return to the homepage or ask a librarian for assistance. What should I do?

11:31AM askandyver2@chat.libraryh3lp.com: hi

11:31AM askandyver2@chat.libraryh3lp.com: what database are you searching in?  We know we are currently having problems with JSTOR.

11:32AM 47292415719574354045858381@web.libraryh3lp.com: Not sure, I just went to the CMU library homepage and searched for an article by title, and that message popped up.

11:32AM askandyver2@chat.libraryh3lp.com: can you give me the title of the article?

11:33AM 47292415719574354045858381@web.libraryh3lp.com: Protein adsorption and transport in agarose and dextran-grafted agarose media for ion exchange chromatography

11:33AM askandyver2@chat.libraryh3lp.com: thx-let me see what I can do!

11:33AM 47292415719574354045858381@web.libraryh3lp.com: Thank you

"

10/11/16 10:18,0:00:07,0:02:24,"10:18AM 03749020545117568084195149@web.libraryh3lp.com: Hello

10:18AM askandyver2@chat.libraryh3lp.com: Hi

10:18AM 03749020545117568084195149@web.libraryh3lp.com: I have a not-so-library related question

10:18AM askandyver2@chat.libraryh3lp.com: No problem-ask away

10:18AM 03749020545117568084195149@web.libraryh3lp.com: What is the chat system you are using for this?  I'm an admin for another CMU dept, we're interested in this tech

10:18AM askandyver2@chat.libraryh3lp.com: You mean the chat technology?

10:18AM 03749020545117568084195149@web.libraryh3lp.com: Yes

10:19AM 03749020545117568084195149@web.libraryh3lp.com: libraryh3lp.com?

10:19AM askandyver2@chat.libraryh3lp.com: Yes.

10:19AM askandyver2@chat.libraryh3lp.com: I can put you in touch with someone who might know abit more about it-costs, etc.

10:19AM 03749020545117568084195149@web.libraryh3lp.com: So this is third-party and you licensed it

10:19AM askandyver2@chat.libraryh3lp.com: Or if you have general questions, as a user I can help

10:19AM askandyver2@chat.libraryh3lp.com: Yes, exactly.

10:20AM 03749020545117568084195149@web.libraryh3lp.com: Ok, thx.

10:20AM askandyver2@chat.libraryh3lp.com: We pay for the right to use it.  We have several librarians with passwords for it.

10:20AM 03749020545117568084195149@web.libraryh3lp.com: I can research from here.  Thanks for the pointer.

10:20AM askandyver2@chat.libraryh3lp.com: Any one of us can answer a chat, and we can transfer chats to one another

10:20AM askandyver2@chat.libraryh3lp.com: You're welcome

"

8/12/16 15:06,0:00:10,0:02:27,"15:06PM 09200188035419379119727708@web.libraryh3lp.com: hello I would like to know if you have received my interlibrary loan request since I did not hear anything back. I requested to pick up at the Mellon library. My name is Marcela Madrid. thanks

15:06PM askandyver2@chat.libraryh3lp.com: Hi

15:08PM askandyver2@chat.libraryh3lp.com: We can't answer that question since we don't have access to the interlibrary loan records.  You can go into your ILLiad account (where you filled out request) and you can see the status of your request.  If you still have questions, contacts for additional information can be found on the ILL page http://www.library.cmu.edu/using/requesting

15:09PM 09200188035419379119727708@web.libraryh3lp.com: thanks. 

15:09PM askandyver2@chat.libraryh3lp.com: You're welcome

"

6/6/16 9:11,0:00:08,0:02:31,"09:11AM 40349101354852134179157316@web.libraryh3lp.com: Happy Monday--

09:11AM askandyver2@chat.libraryh3lp.com: happy Monday

09:11AM askandyver2@chat.libraryh3lp.com: how may I help?

09:12AM 40349101354852134179157316@web.libraryh3lp.com: I've forgotten how to access the OED online.  Can you help?

09:12AM askandyver2@chat.libraryh3lp.com: Sure, go to the library website: http://library.cmu.edu

09:12AM askandyver2@chat.libraryh3lp.com: OED should be listed under research and databases alphabetically

09:13AM askandyver2@chat.libraryh3lp.com: the link to research databases is just under the search box :)

09:13AM askandyver2@chat.libraryh3lp.com: If you're not on campus, you'll be asked to login .. use your Andrew ID and password

09:14AM 40349101354852134179157316@web.libraryh3lp.com: Got it, thanks!   

"

9/4/15 13:56,0:01:48,0:02:37,"13:56PM 85279172389636108673188264@web.libraryh3lp.com: Can I access Hoovers via the web (I'm staff)?

13:57PM askandyver2@chat.libraryh3lp.com: hi .. give me a second .. please

13:58PM 85279172389636108673188264@web.libraryh3lp.com: sure

13:58PM askandyver2@chat.libraryh3lp.com: ok .. I just double checked .. didn't want to answer without checking .. 

13:58PM askandyver2@chat.libraryh3lp.com: yes .. as staff .. you should be able to go to our Research and Databases

13:59PM askandyver2@chat.libraryh3lp.com: Select H and scroll to Hoovers

13:59PM askandyver2@chat.libraryh3lp.com: Click and you get a link that says to ""click continue"" 

13:59PM askandyver2@chat.libraryh3lp.com: However, if you are OFF campus ..

13:59PM askandyver2@chat.libraryh3lp.com: you should get a screen asking you to log in with your andrew ID and password

14:00PM 85279172389636108673188264@web.libraryh3lp.com: great - thanks! You've been very helpful :-)

14:00PM askandyver2@chat.libraryh3lp.com: you're welcome 

14:00PM askandyver2@chat.libraryh3lp.com: have a great weekend

"

12/19/16 12:23,0:00:08,0:02:40,"12:23PM 02536278973274796141869584@web.libraryh3lp.com: Hey! How can I place a book on hold?

12:23PM askandyver2@chat.libraryh3lp.com: Hello.

12:24PM askandyver2@chat.libraryh3lp.com: To place a book on hold, locate the book record in the library catalog. 

12:24PM 02536278973274796141869584@web.libraryh3lp.com: The book is currently available 

12:24PM askandyver2@chat.libraryh3lp.com: What is the book title?

12:25PM 02536278973274796141869584@web.libraryh3lp.com: Harry F. Campbell and Richard P C Brown (2003), Benefit-Cost Analysis: Financial and Economic Appraisal using Spreadsheets Paperback 

12:25PM askandyver2@chat.libraryh3lp.com: If it is available and on the shelf, you will not be able to place a hold. You can only place holds for books that are checked out or in offsite storage.

12:26PM 02536278973274796141869584@web.libraryh3lp.com: ah, ok. Thank you 

12:26PM askandyver2@chat.libraryh3lp.com: You are welcome

"

1/29/16 13:29,0:00:09,0:02:41,"13:29PM 88219702059699370331458903@web.libraryh3lp.com: hi--is there a way for CMU students off campus to access current articles in the Wall Street Journal (i.e. via a CMU portal or database)?

13:30PM askandyver2@chat.libraryh3lp.com: hi

13:31PM askandyver2@chat.libraryh3lp.com: yes, there is.  There is a link to the Wall Street Journal on the library's database list -http://guides.library.cmu.edu/az.php

13:31PM 88219702059699370331458903@web.libraryh3lp.com: lovely, thanks. I'm new to CMU and don't know the best places to find links.

13:31PM askandyver2@chat.libraryh3lp.com: just click on W - it isn't the same format as the WSJ online - just gives the text of the articles

13:31PM askandyver2@chat.libraryh3lp.com: the library website of course :-)  

13:32PM askandyver2@chat.libraryh3lp.com: www.library.cmu.edu

13:32PM askandyver2@chat.libraryh3lp.com: ""Research databases"" are under the blue box.  Also check out the ""Research Guides"" on the right side.

13:32PM 88219702059699370331458903@web.libraryh3lp.com: perfect--very helpful. Thanks!

13:32PM askandyver2@chat.libraryh3lp.com: you're welcome!

"

4/7/17 11:52,0:00:22,0:02:41,"11:52AM 94855386052145328907943640@web.libraryh3lp.com: Hello! No one answers x8-2444.

11:53AM askandyver2@chat.libraryh3lp.com: Hi

11:53AM 94855386052145328907943640@web.libraryh3lp.com: I have a question regarding repository.cmu.edu. 

11:54AM askandyver2@chat.libraryh3lp.com: Sure-what is your question?

11:54AM 94855386052145328907943640@web.libraryh3lp.com: Hi! I monitor web activity for www.sei.cmu.edu, and would like to add info about downloads of SEI reports. 

11:54AM 94855386052145328907943640@web.libraryh3lp.com: These reports are added to repository.cmu.edu at intervals. 

11:55AM 94855386052145328907943640@web.libraryh3lp.com: I would like to know more about the work process for adding reports to repository.cmu.edu (because I have sometimes been asked about it). Who uploads the works, and what prompts them to add SEI works.

11:55AM 94855386052145328907943640@web.libraryh3lp.com: Each month, I would like to get reports showing
-	New SEI works posted in the past month
-	Institutions that have downloaded SEI work in the past month organized by sector (Commercial, Education, Govt, Military, etc)
-	Downloads by month for each SEI work (Sept 2010 Š—– present)
-	Number of SEI works posted by month (Sept 2010 Š—– present)


11:55AM askandyver2@chat.libraryh3lp.com: Katie Behrman is our Research Showcase coordinator.  She can be reached at kbehrman@andrew.cmu.edu
+1 412 268 2536

11:55AM 94855386052145328907943640@web.libraryh3lp.com: AWESOME thanks.

11:55AM askandyver2@chat.libraryh3lp.com: You're welcome.

"

7/5/16 9:41,0:00:21,0:02:45,"09:41AM 22029894264575295069244512@web.libraryh3lp.com: Hello, I'm looking for access to nature magazine. Do you have digital access somewhere?

09:41AM askandyver2@chat.libraryh3lp.com: hi .. good morning .. let me check .. what year are you interested in?

09:41AM 22029894264575295069244512@web.libraryh3lp.com: 2015

09:41AM 22029894264575295069244512@web.libraryh3lp.com: Feb, Mar, and Apr

09:42AM askandyver2@chat.libraryh3lp.com: ok .. it looks like we have it .. here's the info:

09:42AM askandyver2@chat.libraryh3lp.com:  Nature (London)  (0028-0836)
      
from 01/04/1990 to 1 year ago in Biology Database, Health & Medical Collection, Nursing & Allied Health Database, ProQuest Central (purchase pre-March 2016), ProQuest Research Library, Psychology Database and Science Database
from 1997 to present in Nature Journals Online
from 01/06/2000 to 1 year ago in Academic OneFile and General OneFile

09:42AM askandyver2@chat.libraryh3lp.com: you can access the links from e-Journals - http://www.library.cmu.edu/find/eJournals

09:42AM askandyver2@chat.libraryh3lp.com: search by title ""nature""

09:43AM 22029894264575295069244512@web.libraryh3lp.com: Great! Thank you!

09:43AM askandyver2@chat.libraryh3lp.com: you're welcome

09:43AM 22029894264575295069244512@web.libraryh3lp.com: Have a nice day!

09:44AM askandyver2@chat.libraryh3lp.com: you too

"

10/7/16 11:46,0:00:08,0:02:46,"11:46AM 45912132785086718284258526@web.libraryh3lp.com: Good morning

11:46AM askandyver2@chat.libraryh3lp.com: good morning

11:46AM askandyver2@chat.libraryh3lp.com: how may i help?

11:46AM 45912132785086718284258526@web.libraryh3lp.com: I need a book that is currently available on Stacks 

11:46AM askandyver2@chat.libraryh3lp.com: in what library?

11:46AM 45912132785086718284258526@web.libraryh3lp.com: I will be on campus today at 6.30 pm

11:46AM 45912132785086718284258526@web.libraryh3lp.com: Will the Library be open till then?

11:47AM 45912132785086718284258526@web.libraryh3lp.com: Sorrells i think.. Wai the link is...

11:47AM askandyver2@chat.libraryh3lp.com: yes, the library will be open then, but we cannot hold the book (just anticipating your next question).

11:47AM askandyver2@chat.libraryh3lp.com: But you can try calling them .. just to be sure.

11:48AM 45912132785086718284258526@web.libraryh3lp.com: Ya.. Sure. It says the Engineering and Science Library

